song	artist	genre
I Don't Dance	Lee Brice	Country
Die a Happy Man	Thomas Rhett	Country
Started with a Beer	Frankie Ballard	Country
The Air That I Breathe	The Hollies	Unknown
All Right Now	Free	Classic Rock
Allentown	Billy Joel	Classic Rock
Amanda	Boston	Classic Rock
American Woman	The Guess Who	Classic Rock
And When I Die	Blood, Sweat & Tears	Classic Rock
Angie	The Rolling Stones	Classic Rock
Another One Bites The Dust	Queen	Classic Rock
Atlantis	Donovan	Classic Rock
Baby, I Love Your Way	Peter Frampton	Classic Rock
Back In The Saddle	Aerosmith	Classic Rock
Back In The U.S.S.R.	The Beatles	Classic Rock
Bad, Bad Leroy Brown	Jim Croce	Rock 'n' Roll
Bad Medicine	Bon Jovi	Rock
Ballroom Blitz	Sweet	Rock
Barracuda	Heart	Rock
Beast Of Burden	The Rolling Stones	Classic Rock
Bell Bottom Blues	Eric Clapton	Classic Rock
Best Of My Love	Eagles	Classic Rock
Birthday	The Beatles	Classic Rock
The Bitch Is Back	Elton John	Classic Rock
Blue Collar Man (Long Nights)	Styx	Rock
Blue Sky	The Allman Brothers Band	Classic Rock
Brain Damage	Pink Floyd	Classic Rock
Breakdown	Tom Petty and the Heartbreakers	Classic Rock
Burning For You	Blue Oyster Cult	Classic Rock
Bus Stop	The Hollies	Classic Rock
California Girls	The Beach Boys	Classic Rock
Call Me The Breeze	Lynyrd Skynyrd	Classic Rock
Can't You See	The Marshall Tucker Band	Classic Rock
Carry On Wayward Son	Kansas	Rock
Caught Up In You	.38 Special	Rock
Centerfold	J. Geils Band	Rock
Cocaine	Eric Clapton	Classic Rock
Come Sail Away	Styx	Rock
Come Together	The Beatles	Classic Rock
Comin' Home	Eric Clapton	
