Source/Request	Already?	Know? (grade)	APP	POPULAR	Title	Artist	Other Artist	Papon Artist	Duplicate	Year	Decade	Genre	Crowd hit	Country?	Gig notes	MP3	Lyrics	Melody	Chords	Needs?	SIB DONE	PDF DONE	FORSCORE/TYPE
			Y		Owner Of A Lonely Heart	Yes																	CRF
			Y		Mustang Sally	Wilson Pickett																	RBF
PRF 3rd only					(I Just) Died in Your Arms	Cutting Crew				1986		Rock											PRF
PRF 4th only					(I Never Promised You A) Rose Garden	Martina McBride				2005		Country											PRF
					(I've Had) The Time Of My Life	Bill Medley, Jennifer Warnes				1987													PRF
PRF 3rd only					(It's Just) The Way That You Love Me																		PRF
					(Let Me Be Your) Teddy Bear (from LOVING YOU)																		PRF
					(She's) Some Kind Of Wonderful																		CRF
PRF 4th only					(Sittin' On) The Dock Of The Bay																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Always On My Mind	Willie Nelson					70s	Slow		X	Etzel								PRF
			Y		Kansas City	Wilbert Harrison																	RBF
			Y		I Wanna Dance With Somebody	Whitney Houston																	PRF 4th (don't have)
					(They Long To Be) Close To You																		PRF
			Y		Chariots Of Fire	Vangelis				1981		Rock, Pop											PRF
					(You're The) Devil In Disguise																		PRF
PRF 4th only					(You've Got) Personality																		
PRF 3rd only					(You've Got) The Magic Touch																		PRF
			Y		Save The Best For Last	Vanessa Williams																	RBF
					1 2 3																		RBF
					4 Seasons Of Loneliness																		RBF
PRF 3rd only			Y		I Still Haven't Found What I'm Looking For	U2																	PRF
					634-5789																		RBF
05/07/16 Irizarry wedding		C			867-5309						80s	80s hits											LS
					A Big Hunk O' Love																		PRF
PRF 3rd only			Y		With or Without You	U2																	PRF
					A Groovy Kind Of Love																		PRF
			Y		Fast Car	Tracy Chapman				1988		Singer-songwriter											RBF
					A Lover's Concerto																		PRF
					A Lover's Question																		PRF
			Y		Give Me One Reason	Tracy Chapman				1995		Singer-songwriter											RBF
					A Place In The Sun																		RBF
					A Rainy Night In Georgia																		RBF
					A Rose Is Still A Rose																		RBF
Tuzzy Braddy/Tuz Piano 6/7/16			Y		American Girl	Tom Petty and the Heartbreakers					60-70	Classic Rock											yes
PRF 4th only					A White Sport Coat (And A Pink Carnation)																		
05/14/16 Fleischman party	X		Y		Free Fallin’	Tom Petty and the Heartbreakers				1989		Classic Rock	X										
					A Whole New World (Aladdin's Theme)																		PRF
			Y		Breakdown	Tom Petty and the Heartbreakers				1977		Funk											CRF
					Abracadabra																		PRF
					Abraham, Martin And John																		PRF
PRF 3rd only					Achy Breaky Heart (Don't Tell My Heart)																		PRF
			Y		Don't Do Me Like That	Tom Petty and The Heartbreakers				1979		Classic rock											CRF
					Act Naturally						60s-70s												BFB
			Y		Refugee	Tom Petty and The Heartbreakers																	CRF
			Y		Creep (TLC)	TLC				1993		R&B											RBF
					After The Love Has Gone																		RBF
PRF 4th only					Against All Odds (Take A Look At Me Now) (from AGAINST ALL ODDS)																		PRF
PRF 4th only					Ahab The Arab																		PRF
					Ain't Got No Home																		RBF
			Y		No Scrubs	TLC																	RBF
			Y		Joy To The World	Three Dog Night																	CRF
			Y		I Can See For Miles	The Who																	CRF
					Ain't Nothing Like The Real Thing																		RBF
			Y		Happy Together	The Turtles				1967		Rock, Pop											PRF
			Y		Wild Thing	The Troggs																	CRF
05/14/16 Fleischman party	X		Y		Ain’t too proud to beg	The Temptations	The Rolling Stones				60s	Motown	X										
					All Around The World																		PRF
					All Cried Out																		RBF
			Y		Get Ready	The Temptations				1966		Classic soul											RBF
					All For Love (from Walt Disney Pictures' THE THREE MUSKETEERS)																		PRF
			Y		My Girl	The Temptations							X										RBF
			Y		Papa Was A Rollin' Stone	The Temptations																	RBF
			Y		The Way You Do The Things You Do	The Temptations																	RBF
					All In Love Is Fair																		RBF
			Y		Take Me To The River	The Talking Heads																	RBF
					All My Loving (from A HARD DAY'S NIGHT)						60s-70s												BFB
			Y		Stop! In The Name Of Love	The Supremes																	RBF
					All Out Of Love																		PRF
					All Right Now																		CRF
					All Shook Up (featured in ALL SHOOK UP)																		PRF
			Y		Hard To Handle	The Spin Doctors				1990		Hard rock											RBF
PRF 3rd only					All That She Wants																		PRF
			Y		Goodnight, Sweetheart, Goodnight	The Spaniels				2010		Pop											RBF
PRF 3rd only					All Those Years Ago																		PRF
PRF 3rd only					All Through the Night																		PRF
					All Together Now						60s-70s												BFB
			Y		Angie	The Rolling Stones				1973		R&B/soul, Classic rock											CRF
			Y		It's Only Rock 'N' Roll (But I Like It)	The Rolling Stones																	CRF
			Y		She's So Cold	The Rolling Stones																	CRF
05/14/16 Fleischman party	X		Y		I’ll Be There For You	The Rembrandts																	
					Alone																		PRF
					Alone Again (Naturally)																		PRF
					Alone At Last																		RBF
PRF 4th only					Along Comes Mary																		PRF
			Y		Good Lovin'	The Rascals																	PRF
05/14/16 Fleischman party	X		Y		I’m Gonna Be (500 Miles)	The Proclaimers							X										
			Y		Don't Stand So Close To Me	The Police				1980		Rock											CRF
			Y		Every Breath You Take	The Police				1983		Rock											CRF
			Y		Every Little Thing She Does Is Magic	The Police				1981		Reggae, Alternative/Indie, Rock											CRF
PRF 4th only					Amazed																		PRF
			Y		Message In A Bottle	The Police																	CRF
			Y		Roxanne	The Police							X										CRF
PRF 3rd only			Y		Smoke Gets in Your Eyes	The Platters																	PRF
			Y		Earth Angel	The Penguins				1954		Pop music, Rock											PRF
05/14/16 Fleischman party	X		Y		Your Love**	The Outfield																	
			Y		Nights In White Satin	The Moody Blues																	CRF
					And When I Die																		CRF
					And Your Bird Can Sing						60s-70s												BFB
PRF 4th only					Angel																		PRF
PRF 4th only					Angel Flying Too Close To The Ground																		PRF
					Angel Of The Morning																		PRF
			Y		Please Mr. Postman	The Marvelettes	The Beatles																RBF
					Angie																		PRF
			Y		Summer In The City	The Lovin’ Spoonful																	CRF
PRF 4th only			Y		Louie, Louie	The Kingsmen																	PRF 4th (don't have)
					Anna (Go To Him)						60s-70s												BFB
			Y		ABC	The Jackson 5																	RBF
PRF 4th only					Another Day In Paradise																		PRF
					Another Girl (from HELP!)						60s-70s												BFB
					Another One Bites The Dust						80s	Classic Rock											CRF
					Another Sad Love Song																		RBF
			Y		I Want You Back	The Jackson 5																	RBF
			Y		I'll Be There	The Jackson 5																	RBF
					Anytime You Need A Friend																		RBF
			Y		Rockin' Robin	The Jackson 5																	PRF
					As																		RBF
			Y		The Love You Save	The Jackson 5																	RBF
					Ask Me Why						60s-70s												BFB
					At My Front Door																		RBF
					At The Hop																		PRF
					Atlantis																		CRF
PRF 3rd only					Axel F																		PRF
			Y		Shout	The Isley Brothers																	RBF
					Baby I Need Your Lovin'						Motown												RBF
					Baby Love						Motown												RBF
					Baby What A Big Surprise																		PRF
					Baby Workout																		RBF
					Baby You're A Rich Man						60s-70s												BFB
PRF 4th only					Baby, Come To Me																		
			Y		Long Cool Woman (In A Black Dress)	The Hollies																	CRF
					Baby, What You Want Me To Do																		RBF
					Baby's In Black						60s-70s												BFB
					Back In My Arms Again																		RBF
PRF 4th only					Back In The High Life Again																		
					Back In The Saddle																		CRF
			Y		American Woman	The Guess Who				1970		Classic rock											CRF
PRF 3rd only					Bad Blood																		PRF
					Bad Boy						60s-70s												BFB
			Y		We Got The Beat	The Go-Gos																	PRF
					Bad Idea						90s												BF Scores
		C			Bad Medicine						80s				Brillant								CRF
PRF 4th only			Y		Killing Me Softly With His Song	The Fugees	Roberta flack																PRF 4th (don't have)
			Y		I Can't Help Myself (Sugar Pie, Honey Bunch)	The Four Tops																	RBF
PRF 4th only			Y		Can't Take My Eyes Off Of You	The Four Seasons				1967		Pop											PRF 4th (don't have)
PRF 3rd only					Baker Street																		PRF
					Ball Of Confusion (That's What The World Is Today)																		RBF
					Ballroom Blitz																		CRF
			Y		December 1963 (Oh, What A Night)	The Four Seasons																	PRF
					Barracuda																		CRF
			Y		All I Have To Do Is Dream	The Everly Brothers				1970		Rock											PRF
			Y		Wake Up Little Susie	The Everly Brothers																	PRF
PRF 4th only					Be True To Your School																		PRF
PRF 4th only					Be-Bop-A-Lula																		
					Beast Of Burden																		CRF
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Already Gone	The Eagles					60-70												yes
					Because						60s-70s												BFB
PRF 4th only					Beep Beep																		PRF
			Y		Heartache Tonight	The Eagles				1979		Classic rock											CRF
					Before You Walk Out Of My Life																		RBF
					Being For The Benefit Of Mr. Kite						60s-70s												BFB
			Y		Save The Last Dance For Me	The Drifters	Michael Buble																RBF
					Ben (from BEN)																		RBF
			Y		Under The Boardwalk	The Drifters																	PRF
					Bernadette	The Four Tops																	RBF
05/14/16 Fleischman party	X		Y		Friday I’m In Love	The Cure				1992		New wave/post-punk											
					Best Of My Love	Eagles																	CRF
					Best Of My Love (from BOOGIE NIGHTS)	The Emotions																	RBF
05/07/16 Irizarry wedding					Bette Davis eyes	Kim Carnes						NO											
					Better Be Good To Me	Tina Turner																	RBF
			Y		Brick House	The Commodores				1977		Funk											RBF
PRF 4th only					Big Bad John																		PRF
			Y		Yakety Yak	The Coasters																	PRF
